scale,event_type,budget_sec,algorithm,n_rows,solved_rate,objective_mean,objective_std,objective_median,makespan_mean,makespan_std,latency_p95_mean
L,mixed,0.1,MOR,5,1.000000,204.856379,13.423741,207.167595,204.856379,13.423741,0.000020
L,mixed,0.1,MachineRank,5,1.000000,208.199354,13.341378,209.138758,208.199354,13.341378,0.000234
L,mixed,0.1,SA,5,1.000000,225.228330,21.512767,233.090071,225.228330,21.512767,0.169414
L,mixed,0.5,B-CORE,5,1.000000,153.290501,6.436843,149.750241,153.290501,6.436843,0.000531
L,mixed,0.5,B-CORE-no-bottleneck,5,1.000000,166.345244,8.755019,163.959725,166.345244,8.755019,0.000530
L,mixed,0.5,B-CORE-no-graph,5,1.000000,153.290501,6.436843,149.750241,153.290501,6.436843,0.000491
L,mixed,0.5,DCGA,5,1.000000,214.209236,17.421798,217.352556,214.209236,17.421798,0.565698
L,mixed,0.5,GA,5,1.000000,224.059959,11.361697,224.611810,224.059959,11.361697,0.553874
L,mixed,0.5,LNS,5,1.000000,224.858380,7.898650,225.482934,224.858380,7.898650,0.558541
L,mixed,0.5,MOEA-NSGA2,5,1.000000,222.803375,11.883969,223.503288,222.803375,11.883969,1.011136
L,mixed,0.5,MOR,5,1.000000,204.856379,13.423741,207.167595,204.856379,13.423741,0.000021
L,mixed,0.5,MachineRank,5,1.000000,208.199354,13.341378,209.138758,208.199354,13.341378,0.000249
L,mixed,0.5,SA,5,1.000000,223.661473,20.710432,229.176203,223.661473,20.710432,0.563521
L,mixed,1.0,B-CORE,5,1.000000,153.290501,6.436843,149.750241,153.290501,6.436843,0.000497
L,mixed,1.0,B-CORE-no-bottleneck,5,1.000000,166.345244,8.755019,163.959725,166.345244,8.755019,0.000527
L,mixed,1.0,B-CORE-no-graph,5,1.000000,153.290501,6.436843,149.750241,153.290501,6.436843,0.000494
L,mixed,1.0,DCGA,5,1.000000,215.499172,10.264193,219.201384,215.499172,10.264193,1.066375
L,mixed,1.0,GA,5,1.000000,222.470249,11.976369,223.503288,222.470249,11.976369,1.056027
L,mixed,1.0,LNS,5,1.000000,222.138579,9.606316,225.871421,222.138579,9.606316,1.060894
L,mixed,1.0,MOEA-NSGA2,5,1.000000,222.803375,11.883969,223.503288,222.803375,11.883969,1.069931
L,mixed,1.0,MOR,5,1.000000,204.856379,13.423741,207.167595,204.856379,13.423741,0.000023
L,mixed,1.0,MachineRank,5,1.000000,208.199354,13.341378,209.138758,208.199354,13.341378,0.000245
L,mixed,1.0,SA,5,1.000000,220.117509,19.439473,220.643110,220.117509,19.439473,1.064071
L,mixed,10.0,B-CORE,5,1.000000,153.290501,6.436843,149.750241,153.290501,6.436843,0.000525
L,mixed,10.0,B-CORE-no-bottleneck,5,1.000000,166.345244,8.755019,163.959725,166.345244,8.755019,0.000512
L,mixed,10.0,B-CORE-no-graph,5,1.000000,153.290501,6.436843,149.750241,153.290501,6.436843,0.000513
L,mixed,10.0,DCGA,5,1.000000,192.237438,14.848456,195.190292,192.237438,14.848456,10.055941
L,mixed,10.0,GA,5,1.000000,192.761422,4.757130,191.182834,192.761422,4.757130,10.054264
L,mixed,10.0,LNS,5,1.000000,199.506814,9.411055,196.750724,199.506814,9.411055,10.054701
L,mixed,10.0,MOEA-NSGA2,5,1.000000,195.848383,12.976491,197.689271,195.848383,12.976491,10.062693
L,mixed,10.0,MOR,5,1.000000,204.856379,13.423741,207.167595,204.856379,13.423741,0.000018
L,mixed,10.0,MachineRank,5,1.000000,208.199354,13.341378,209.138758,208.199354,13.341378,0.000270
L,mixed,10.0,SA,5,1.000000,207.722035,11.153993,207.191115,207.722035,11.153993,10.065310
L,mixed,5.0,B-CORE,5,1.000000,153.290501,6.436843,149.750241,153.290501,6.436843,0.000485
L,mixed,5.0,B-CORE-no-bottleneck,5,1.000000,166.345244,8.755019,163.959725,166.345244,8.755019,0.000534
L,mixed,5.0,B-CORE-no-graph,5,1.000000,153.290501,6.436843,149.750241,153.290501,6.436843,0.000496
L,mixed,5.0,DCGA,5,1.000000,199.550697,10.269123,202.362785,199.550697,10.269123,5.058559
L,mixed,5.0,GA,5,1.000000,199.002586,16.249926,194.292540,199.002586,16.249926,5.063767
L,mixed,5.0,LNS,5,1.000000,205.559833,12.281933,202.708948,205.559833,12.281933,5.053919
L,mixed,5.0,MOEA-NSGA2,5,1.000000,200.353457,9.717123,198.805309,200.353457,9.717123,5.067915
L,mixed,5.0,MOR,5,1.000000,204.856379,13.423741,207.167595,204.856379,13.423741,0.000019
L,mixed,5.0,MachineRank,5,1.000000,208.199354,13.341378,209.138758,208.199354,13.341378,0.000252
L,mixed,5.0,SA,5,1.000000,216.572130,18.409057,216.020746,216.572130,18.409057,5.045622
L,rush_job,0.1,B-CORE,5,1.000000,156.794004,6.588074,154.354225,156.794004,6.588074,0.000556
L,rush_job,0.1,B-CORE-no-bottleneck,5,1.000000,167.094553,4.270706,167.056539,167.094553,4.270706,0.000711
L,rush_job,0.1,B-CORE-no-graph,5,1.000000,156.794004,6.588074,154.354225,156.794004,6.588074,0.000509
L,rush_job,0.1,DCGA,5,1.000000,232.765840,11.474295,229.742808,232.765840,11.474295,0.158718
L,rush_job,0.1,GA,5,1.000000,239.230215,13.623459,244.052834,239.230215,13.623459,0.156681
