scale,event_type,budget_sec,algorithm,n_rows,solved_rate,objective_mean,objective_std,objective_median,makespan_mean,makespan_std,latency_p95_mean
M,mixed,5.0,SA,5,1.000000,85.906452,4.261517,87.347902,85.906452,4.261517,5.009101
M,rush_job,0.1,B-CORE,5,1.000000,76.694122,8.033357,75.999835,76.694122,8.033357,0.000277
M,rush_job,0.1,B-CORE-no-bottleneck,5,1.000000,76.949574,4.428497,75.504564,76.949574,4.428497,0.000269
M,rush_job,0.1,B-CORE-no-graph,5,1.000000,76.694122,8.033357,75.999835,76.694122,8.033357,0.000286
M,rush_job,0.1,DCGA,5,1.000000,93.612454,13.595983,97.036920,93.612454,13.595983,0.109825
M,rush_job,0.1,GA,5,1.000000,99.397980,11.645217,99.541566,99.397980,11.645217,0.111097
M,rush_job,0.1,LNS,5,1.000000,93.352261,14.916682,96.178406,93.352261,14.916682,0.113686
M,rush_job,0.1,MOEA-NSGA2,5,1.000000,88.817710,11.976598,93.653301,88.817710,11.976598,0.222086
M,rush_job,0.1,MOR,5,1.000000,94.050877,7.013328,91.001036,94.050877,7.013328,0.000010
M,rush_job,0.1,MachineRank,5,1.000000,88.418247,9.091640,92.247902,88.418247,9.091640,0.000097
M,rush_job,0.1,SA,5,1.000000,98.912527,19.418977,101.151243,98.912527,19.418977,0.113845
M,rush_job,0.5,B-CORE,5,1.000000,76.694122,8.033357,75.999835,76.694122,8.033357,0.000328
M,rush_job,0.5,B-CORE-no-bottleneck,5,1.000000,76.949574,4.428497,75.504564,76.949574,4.428497,0.000281
M,rush_job,0.5,B-CORE-no-graph,5,1.000000,76.694122,8.033357,75.999835,76.694122,8.033357,0.000330
M,rush_job,0.5,DCGA,5,1.000000,85.083261,15.673159,91.660816,85.083261,15.673159,0.510256
M,rush_job,0.5,GA,5,1.000000,87.390904,6.853182,86.004167,87.390904,6.853182,0.510412
M,rush_job,0.5,LNS,5,1.000000,86.188499,11.020800,89.540202,86.188499,11.020800,0.512508
M,rush_job,0.5,MOEA-NSGA2,5,1.000000,86.648270,11.045488,84.887572,86.648270,11.045488,0.517194
M,rush_job,0.5,MOR,5,1.000000,94.050877,7.013328,91.001036,94.050877,7.013328,0.000010
M,rush_job,0.5,MachineRank,5,1.000000,88.418247,9.091640,92.247902,88.418247,9.091640,0.000094
M,rush_job,0.5,SA,5,1.000000,94.792100,22.016211,90.377190,94.792100,22.016211,0.515520
M,rush_job,1.0,B-CORE,5,1.000000,76.694122,8.033357,75.999835,76.694122,8.033357,0.000279
M,rush_job,1.0,B-CORE-no-bottleneck,5,1.000000,76.949574,4.428497,75.504564,76.949574,4.428497,0.000272
M,rush_job,1.0,B-CORE-no-graph,5,1.000000,76.694122,8.033357,75.999835,76.694122,8.033357,0.000331
M,rush_job,1.0,DCGA,5,1.000000,81.361320,12.155863,86.670582,81.361320,12.155863,1.012278
M,rush_job,1.0,GA,5,1.000000,81.236341,9.466847,79.756220,81.236341,9.466847,1.015535
M,rush_job,1.0,LNS,5,1.000000,83.638666,14.457491,88.732362,83.638666,14.457491,1.011456
M,rush_job,1.0,MOEA-NSGA2,5,1.000000,83.151759,7.645564,84.202249,83.151759,7.645564,1.013402
M,rush_job,1.0,MOR,5,1.000000,94.050877,7.013328,91.001036,94.050877,7.013328,0.000009
M,rush_job,1.0,MachineRank,5,1.000000,88.418247,9.091640,92.247902,88.418247,9.091640,0.000084
M,rush_job,1.0,SA,5,1.000000,88.929477,15.277180,83.142563,88.929477,15.277180,1.014035
M,rush_job,10.0,B-CORE,5,1.000000,76.694122,8.033357,75.999835,76.694122,8.033357,0.000328
M,rush_job,10.0,B-CORE-no-bottleneck,5,1.000000,76.949574,4.428497,75.504564,76.949574,4.428497,0.000293
M,rush_job,10.0,B-CORE-no-graph,5,1.000000,76.694122,8.033357,75.999835,76.694122,8.033357,0.000339
M,rush_job,10.0,DCGA,5,1.000000,70.107018,9.155648,70.863800,70.107018,9.155648,10.011658
M,rush_job,10.0,GA,5,1.000000,71.402310,7.479440,69.923915,71.402310,7.479440,10.010914
M,rush_job,10.0,LNS,5,1.000000,76.858264,8.451993,76.085803,76.858264,8.451993,9.216426
M,rush_job,10.0,MOEA-NSGA2,5,1.000000,73.408433,9.943817,70.870851,73.408433,9.943817,10.014234
M,rush_job,10.0,MOR,5,1.000000,94.050877,7.013328,91.001036,94.050877,7.013328,0.000010
M,rush_job,10.0,MachineRank,5,1.000000,88.418247,9.091640,92.247902,88.418247,9.091640,0.000094
M,rush_job,10.0,SA,5,1.000000,76.638705,7.344236,74.795937,76.638705,7.344236,9.125233
M,rush_job,5.0,B-CORE,5,1.000000,76.694122,8.033357,75.999835,76.694122,8.033357,0.000329
M,rush_job,5.0,B-CORE-no-bottleneck,5,1.000000,76.949574,4.428497,75.504564,76.949574,4.428497,0.000324
M,rush_job,5.0,B-CORE-no-graph,5,1.000000,76.694122,8.033357,75.999835,76.694122,8.033357,0.000329
M,rush_job,5.0,DCGA,5,1.000000,73.013586,10.655345,70.893290,73.013586,10.655345,5.014504
M,rush_job,5.0,GA,5,1.000000,73.395321,9.768531,72.693266,73.395321,9.768531,5.011404
M,rush_job,5.0,LNS,5,1.000000,80.136537,9.381001,80.064044,80.136537,9.381001,5.012105
M,rush_job,5.0,MOEA-NSGA2,5,1.000000,78.604002,11.980381,72.796541,78.604002,11.980381,5.011103
M,rush_job,5.0,MOR,5,1.000000,94.050877,7.013328,91.001036,94.050877,7.013328,0.000010
M,rush_job,5.0,MachineRank,5,1.000000,88.418247,9.091640,92.247902,88.418247,9.091640,0.000091
M,rush_job,5.0,SA,5,1.000000,84.147950,8.464642,80.992063,84.147950,8.464642,5.010871
S,breakdown,0.1,B-CORE,5,1.000000,49.452725,5.914642,48.026998,49.452725,5.914642,0.000203
S,breakdown,0.1,B-CORE-no-bottleneck,5,1.000000,53.290138,8.999132,53.964053,53.290138,8.999132,0.000177
S,breakdown,0.1,B-CORE-no-graph,5,1.000000,49.452725,5.914642,48.026998,49.452725,5.914642,0.000223
S,breakdown,0.1,DCGA,5,1.000000,54.788260,10.324904,53.086070,54.788260,10.324904,0.104094
S,breakdown,0.1,GA,5,1.000000,50.485453,9.412666,46.480372,50.485453,9.412666,0.103202
S,breakdown,0.1,LNS,5,1.000000,51.049166,7.817742,49.235012,51.049166,7.817742,0.103709
S,breakdown,0.1,MOEA-NSGA2,5,1.000000,49.492734,7.806067,47.021291,49.492734,7.806067,0.103853
S,breakdown,0.1,MOR,5,1.000000,61.335108,9.295286,64.205767,61.335108,9.295286,0.000007
S,breakdown,0.1,MachineRank,5,1.000000,56.361217,6.162483,58.898988,56.361217,6.162483,0.000062
S,breakdown,0.1,SA,5,1.000000,57.856650,8.709664,52.680970,57.856650,8.709664,0.102868
S,breakdown,0.5,B-CORE,5,1.000000,49.452725,5.914642,48.026998,49.452725,5.914642,0.000239
S,breakdown,0.5,B-CORE-no-bottleneck,5,1.000000,53.290138,8.999132,53.964053,53.290138,8.999132,0.000224
S,breakdown,0.5,B-CORE-no-graph,5,1.000000,49.452725,5.914642,48.026998,49.452725,5.914642,0.000237
S,breakdown,0.5,DCGA,5,1.000000,49.324380,9.204938,48.466051,49.324380,9.204938,0.503514
S,breakdown,0.5,GA,5,1.000000,48.098073,7.442373,47.021291,48.098073,7.442373,0.503755
S,breakdown,0.5,LNS,5,1.000000,50.315739,10.359725,48.986375,50.315739,10.359725,0.503955
S,breakdown,0.5,MOEA-NSGA2,5,1.000000,49.210287,8.610693,47.792672,49.210287,8.610693,0.503578
S,breakdown,0.5,MOR,5,1.000000,61.335108,9.295286,64.205767,61.335108,9.295286,0.000008
S,breakdown,0.5,MachineRank,5,1.000000,56.361217,6.162483,58.898988,56.361217,6.162483,0.000068
S,breakdown,0.5,SA,5,1.000000,53.227245,7.788959,51.394983,53.227245,7.788959,0.503246
S,breakdown,1.0,B-CORE,5,1.000000,49.452725,5.914642,48.026998,49.452725,5.914642,0.000221
S,breakdown,1.0,B-CORE-no-bottleneck,5,1.000000,53.290138,8.999132,53.964053,53.290138,8.999132,0.000211
S,breakdown,1.0,B-CORE-no-graph,5,1.000000,49.452725,5.914642,48.026998,49.452725,5.914642,0.000219
S,breakdown,1.0,DCGA,5,1.000000,46.721227,6.646815,45.966051,46.721227,6.646815,1.003989
S,breakdown,1.0,GA,5,1.000000,47.553172,7.415135,44.630517,47.553172,7.415135,1.002256
S,breakdown,1.0,LNS,5,1.000000,49.533642,9.213264,48.047524,49.533642,9.213264,1.002465
S,breakdown,1.0,MOEA-NSGA2,5,1.000000,46.490034,6.616798,45.037118,46.490034,6.616798,1.004137
S,breakdown,1.0,MOR,5,1.000000,61.335108,9.295286,64.205767,61.335108,9.295286,0.000008
S,breakdown,1.0,MachineRank,5,1.000000,56.361217,6.162483,58.898988,56.361217,6.162483,0.000067
S,breakdown,1.0,SA,5,1.000000,49.851175,10.126934,46.784245,49.851175,10.126934,1.003215
S,breakdown,10.0,B-CORE,5,1.000000,49.452725,5.914642,48.026998,49.452725,5.914642,0.000264
S,breakdown,10.0,B-CORE-no-bottleneck,5,1.000000,53.290138,8.999132,53.964053,53.290138,8.999132,0.000207
S,breakdown,10.0,B-CORE-no-graph,5,1.000000,49.452725,5.914642,48.026998,49.452725,5.914642,0.000213
S,breakdown,10.0,DCGA,5,1.000000,46.498185,4.600198,45.300677,46.498185,4.600198,9.995047
S,breakdown,10.0,GA,5,1.000000,45.605111,5.538552,43.471764,45.605111,5.538552,10.003209
S,breakdown,10.0,LNS,5,1.000000,45.943229,5.683842,43.600677,45.943229,5.683842,2.744779
S,breakdown,10.0,MOEA-NSGA2,5,1.000000,45.336064,5.969078,43.971146,45.336064,5.969078,10.004035
S,breakdown,10.0,MOR,5,1.000000,61.335108,9.295286,64.205767,61.335108,9.295286,0.000007
S,breakdown,10.0,MachineRank,5,1.000000,56.361217,6.162483,58.898988,56.361217,6.162483,0.000072
S,breakdown,10.0,SA,5,1.000000,46.002909,7.188998,43.280970,46.002909,7.188998,2.828958
S,breakdown,5.0,B-CORE,5,1.000000,49.452725,5.914642,48.026998,49.452725,5.914642,0.000233
S,breakdown,5.0,B-CORE-no-bottleneck,5,1.000000,53.290138,8.999132,53.964053,53.290138,8.999132,0.000231
S,breakdown,5.0,B-CORE-no-graph,5,1.000000,49.452725,5.914642,48.026998,49.452725,5.914642,0.000254
S,breakdown,5.0,DCGA,5,1.000000,46.498185,4.600198,45.300677,46.498185,4.600198,5.003178
S,breakdown,5.0,GA,5,1.000000,46.122890,5.131744,44.630517,46.122890,5.131744,5.004214
S,breakdown,5.0,LNS,5,1.000000,45.943229,5.683842,43.600677,45.943229,5.683842,2.815724
S,breakdown,5.0,MOEA-NSGA2,5,1.000000,45.360775,6.202958,43.403301,45.360775,6.202958,5.003623
S,breakdown,5.0,MOR,5,1.000000,61.335108,9.295286,64.205767,61.335108,9.295286,0.000009
S,breakdown,5.0,MachineRank,5,1.000000,56.361217,6.162483,58.898988,56.361217,6.162483,0.000073
S,breakdown,5.0,SA,5,1.000000,46.002909,7.188998,43.280970,46.002909,7.188998,2.710988
S,mixed,0.1,B-CORE,5,1.000000,56.553522,11.321308,61.747027,56.553522,11.321308,0.000238
S,mixed,0.1,B-CORE-no-bottleneck,5,1.000000,56.619980,12.067756,60.620995,56.619980,12.067756,0.000222
S,mixed,0.1,B-CORE-no-graph,5,1.000000,56.553522,11.321308,61.747027,56.553522,11.321308,0.000231
S,mixed,0.1,DCGA,5,1.000000,56.772481,10.601173,60.526409,56.772481,10.601173,0.105071
S,mixed,0.1,GA,5,1.000000,58.308940,10.874421,56.406080,58.308940,10.874421,0.104007
S,mixed,0.1,LNS,5,1.000000,62.381929,13.519848,61.215956,62.381929,13.519848,0.102626
S,mixed,0.1,MOEA-NSGA2,5,1.000000,58.117853,11.810074,55.847018,58.117853,11.810074,0.104617
S,mixed,0.1,MOR,5,1.000000,60.538322,6.859296,59.140706,60.538322,6.859296,0.000009
S,mixed,0.1,MachineRank,5,1.000000,59.639114,11.258858,67.076858,59.639114,11.258858,0.000056
S,mixed,0.1,SA,5,1.000000,61.515656,13.713023,70.660245,61.515656,13.713023,0.103902
S,mixed,0.5,B-CORE,5,1.000000,56.553522,11.321308,61.747027,56.553522,11.321308,0.000261
S,mixed,0.5,B-CORE-no-bottleneck,5,1.000000,56.619980,12.067756,60.620995,56.619980,12.067756,0.000257
S,mixed,0.5,B-CORE-no-graph,5,1.000000,56.553522,11.321308,61.747027,56.553522,11.321308,0.000245
S,mixed,0.5,DCGA,5,1.000000,51.721031,9.585566,51.147018,51.721031,9.585566,0.504076
S,mixed,0.5,GA,5,1.000000,52.472849,10.173692,54.785462,52.472849,10.173692,0.504225
S,mixed,0.5,LNS,5,1.000000,56.173894,12.004632,60.152712,56.173894,12.004632,0.504496
S,mixed,0.5,MOEA-NSGA2,5,1.000000,52.428042,11.495820,52.286070,52.428042,11.495820,0.504743
S,mixed,0.5,MOR,5,1.000000,60.538322,6.859296,59.140706,60.538322,6.859296,0.000010
S,mixed,0.5,MachineRank,5,1.000000,59.639114,11.258858,67.076858,59.639114,11.258858,0.000064
S,mixed,0.5,SA,5,1.000000,53.490104,9.836796,54.255622,53.490104,9.836796,0.503188
S,mixed,1.0,B-CORE,5,1.000000,56.553522,11.321308,61.747027,56.553522,11.321308,0.000213
S,mixed,1.0,B-CORE-no-bottleneck,5,1.000000,56.619980,12.067756,60.620995,56.619980,12.067756,0.000211
S,mixed,1.0,B-CORE-no-graph,5,1.000000,56.553522,11.321308,61.747027,56.553522,11.321308,0.000222
S,mixed,1.0,DCGA,5,1.000000,51.555061,9.318663,51.147018,51.555061,9.318663,1.004264
S,mixed,1.0,GA,5,1.000000,50.177831,10.308826,54.311774,50.177831,10.308826,1.004777
S,mixed,1.0,LNS,5,1.000000,52.386918,13.014337,51.147018,52.386918,13.014337,1.003016
S,mixed,1.0,MOEA-NSGA2,5,1.000000,52.746913,10.229281,53.346409,52.746913,10.229281,1.003719
S,mixed,1.0,MOR,5,1.000000,60.538322,6.859296,59.140706,60.538322,6.859296,0.000009
S,mixed,1.0,MachineRank,5,1.000000,59.639114,11.258858,67.076858,59.639114,11.258858,0.000057
S,mixed,1.0,SA,5,1.000000,55.038292,9.604790,57.182552,55.038292,9.604790,1.004884
S,mixed,10.0,B-CORE,5,1.000000,56.553522,11.321308,61.747027,56.553522,11.321308,0.000262
S,mixed,10.0,B-CORE-no-bottleneck,5,1.000000,56.619980,12.067756,60.620995,56.619980,12.067756,0.000216
S,mixed,10.0,B-CORE-no-graph,5,1.000000,56.553522,11.321308,61.747027,56.553522,11.321308,0.000219
S,mixed,10.0,DCGA,5,1.000000,48.829153,7.455331,47.396250,48.829153,7.455331,9.983965
S,mixed,10.0,GA,5,1.000000,47.377697,9.355882,47.176240,47.377697,9.355882,9.996427
S,mixed,10.0,LNS,5,1.000000,49.838194,10.572903,51.147018,49.838194,10.572903,2.820888
S,mixed,10.0,MOEA-NSGA2,5,1.000000,47.972566,9.800541,47.176240,47.972566,9.800541,10.003362
S,mixed,10.0,MOR,5,1.000000,60.538322,6.859296,59.140706,60.538322,6.859296,0.000009
S,mixed,10.0,MachineRank,5,1.000000,59.639114,11.258858,67.076858,59.639114,11.258858,0.000057
S,mixed,10.0,SA,5,1.000000,53.339857,11.150062,54.983749,53.339857,11.150062,2.821129
S,mixed,5.0,B-CORE,5,1.000000,56.553522,11.321308,61.747027,56.553522,11.321308,0.000258
S,mixed,5.0,B-CORE-no-bottleneck,5,1.000000,56.619980,12.067756,60.620995,56.619980,12.067756,0.000255
S,mixed,5.0,B-CORE-no-graph,5,1.000000,56.553522,11.321308,61.747027,56.553522,11.321308,0.000255
S,mixed,5.0,DCGA,5,1.000000,49.770292,8.927992,47.396250,49.770292,8.927992,5.003836
S,mixed,5.0,GA,5,1.000000,47.701460,9.754872,47.176240,47.701460,9.754872,5.004045
S,mixed,5.0,LNS,5,1.000000,49.838194,10.572903,51.147018,49.838194,10.572903,2.789881
S,mixed,5.0,MOEA-NSGA2,5,1.000000,47.497697,9.335312,46.341614,47.497697,9.335312,5.004048
S,mixed,5.0,MOR,5,1.000000,60.538322,6.859296,59.140706,60.538322,6.859296,0.000009
S,mixed,5.0,MachineRank,5,1.000000,59.639114,11.258858,67.076858,59.639114,11.258858,0.000066
S,mixed,5.0,SA,5,1.000000,53.339857,11.150062,54.983749,53.339857,11.150062,2.782998
S,rush_job,0.1,B-CORE,5,1.000000,51.444505,4.224213,50.393471,51.444505,4.224213,0.000246
S,rush_job,0.1,B-CORE-no-bottleneck,5,1.000000,54.933893,8.869239,54.335921,54.933893,8.869239,0.000240
S,rush_job,0.1,B-CORE-no-graph,5,1.000000,51.444505,4.224213,50.393471,51.444505,4.224213,0.000246
S,rush_job,0.1,DCGA,5,1.000000,53.895536,8.074293,55.361320,53.895536,8.074293,0.103811
S,rush_job,0.1,GA,5,1.000000,54.352987,6.115357,53.799769,54.352987,6.115357,0.103802
S,rush_job,0.1,LNS,5,1.000000,56.683795,5.413342,58.664986,56.683795,5.413342,0.103831
S,rush_job,0.1,MOEA-NSGA2,5,1.000000,53.669689,8.664745,52.256231,53.669689,8.664745,0.103989
S,rush_job,0.1,MOR,5,1.000000,61.770297,7.523076,63.299478,61.770297,7.523076,0.000009
S,rush_job,0.1,MachineRank,5,1.000000,59.385754,4.728226,58.941324,59.385754,4.728226,0.000058
S,rush_job,0.1,SA,5,1.000000,60.112542,8.260722,61.265761,60.112542,8.260722,0.104291
S,rush_job,0.5,B-CORE,5,1.000000,51.444505,4.224213,50.393471,51.444505,4.224213,0.000257
S,rush_job,0.5,B-CORE-no-bottleneck,5,1.000000,54.933893,8.869239,54.335921,54.933893,8.869239,0.000238
S,rush_job,0.5,B-CORE-no-graph,5,1.000000,51.444505,4.224213,50.393471,51.444505,4.224213,0.000267
S,rush_job,0.5,DCGA,5,1.000000,50.427145,5.296174,49.472054,50.427145,5.296174,0.503678
S,rush_job,0.5,GA,5,1.000000,50.596761,5.336537,49.040098,50.596761,5.336537,0.504720
S,rush_job,0.5,LNS,5,1.000000,50.965268,5.258219,52.426690,50.965268,5.258219,0.503649
S,rush_job,0.5,MOEA-NSGA2,5,1.000000,50.290905,5.922956,48.385462,50.290905,5.922956,0.504581
S,rush_job,0.5,MOR,5,1.000000,61.770297,7.523076,63.299478,61.770297,7.523076,0.000013
S,rush_job,0.5,MachineRank,5,1.000000,59.385754,4.728226,58.941324,59.385754,4.728226,0.000057
S,rush_job,0.5,SA,5,1.000000,52.078970,5.960491,53.530517,52.078970,5.960491,0.503385
S,rush_job,1.0,B-CORE,5,1.000000,51.444505,4.224213,50.393471,51.444505,4.224213,0.000264
S,rush_job,1.0,B-CORE-no-bottleneck,5,1.000000,54.933893,8.869239,54.335921,54.933893,8.869239,0.000244
S,rush_job,1.0,B-CORE-no-graph,5,1.000000,51.444505,4.224213,50.393471,51.444505,4.224213,0.000228
S,rush_job,1.0,DCGA,5,1.000000,48.352677,5.948769,46.700986,48.352677,5.948769,1.003819
S,rush_job,1.0,GA,5,1.000000,48.106966,5.016733,47.771764,48.106966,5.016733,1.003672
S,rush_job,1.0,LNS,5,1.000000,47.077332,4.023635,46.520088,47.077332,4.023635,1.003484
S,rush_job,1.0,MOEA-NSGA2,5,1.000000,48.511430,5.379982,48.035921,48.511430,5.379982,1.003849
S,rush_job,1.0,MOR,5,1.000000,61.770297,7.523076,63.299478,61.770297,7.523076,0.000008
S,rush_job,1.0,MachineRank,5,1.000000,59.385754,4.728226,58.941324,59.385754,4.728226,0.000056
S,rush_job,1.0,SA,5,1.000000,48.600924,6.356446,47.234699,48.600924,6.356446,1.004181
S,rush_job,10.0,B-CORE,5,1.000000,51.444505,4.224213,50.393471,51.444505,4.224213,0.000246
S,rush_job,10.0,B-CORE-no-bottleneck,5,1.000000,54.933893,8.869239,54.335921,54.933893,8.869239,0.000253
S,rush_job,10.0,B-CORE-no-graph,5,1.000000,51.444505,4.224213,50.393471,51.444505,4.224213,0.000263
S,rush_job,10.0,DCGA,5,1.000000,44.930722,3.245205,44.841609,44.930722,3.245205,9.998631
S,rush_job,10.0,GA,5,1.000000,45.163857,3.338028,44.591156,45.163857,3.338028,10.003290
S,rush_job,10.0,LNS,5,1.000000,46.724499,2.581473,46.400073,46.724499,2.581473,2.630028
S,rush_job,10.0,MOEA-NSGA2,5,1.000000,44.550286,4.133610,43.510856,44.550286,4.133610,10.003575
S,rush_job,10.0,MOR,5,1.000000,61.770297,7.523076,63.299478,61.770297,7.523076,0.000009
S,rush_job,10.0,MachineRank,5,1.000000,59.385754,4.728226,58.941324,59.385754,4.728226,0.000060
S,rush_job,10.0,SA,5,1.000000,47.298653,5.342864,45.642208,47.298653,5.342864,2.595771
S,rush_job,5.0,B-CORE,5,1.000000,51.444505,4.224213,50.393471,51.444505,4.224213,0.000222
S,rush_job,5.0,B-CORE-no-bottleneck,5,1.000000,54.933893,8.869239,54.335921,54.933893,8.869239,0.000224
S,rush_job,5.0,B-CORE-no-graph,5,1.000000,51.444505,4.224213,50.393471,51.444505,4.224213,0.000209
S,rush_job,5.0,DCGA,5,1.000000,46.215671,4.877224,45.236520,46.215671,4.877224,5.002845
S,rush_job,5.0,GA,5,1.000000,46.015149,4.344787,44.955917,46.015149,4.344787,5.002743
S,rush_job,5.0,LNS,5,1.000000,46.724499,2.581473,46.400073,46.724499,2.581473,2.685902
S,rush_job,5.0,MOEA-NSGA2,5,1.000000,44.928622,3.920596,43.510856,44.928622,3.920596,5.004037
S,rush_job,5.0,MOR,5,1.000000,61.770297,7.523076,63.299478,61.770297,7.523076,0.000010
S,rush_job,5.0,MachineRank,5,1.000000,59.385754,4.728226,58.941324,59.385754,4.728226,0.000055
S,rush_job,5.0,SA,5,1.000000,47.298653,5.342864,45.642208,47.298653,5.342864,2.624193
