weight_seed,n_rows,mean_objective,std_objective,coeff_json,component_json,rank,percentile
901134,12,66.759594,16.390074,"{""agv_remaining_ops"": -0.1329434137309025, ""agv_transport"": 0.6100314337377801, ""agv_wait"": 0.2991463070420901, ""machine_alt_gap"": 0.22761651098224997, ""machine_delay"": 0.4282562266610301, ""machine_pressure"": 0.7014663043775159, ""machine_proc"": 0.0, ""machine_queue"": 0.751214410889395, ""machine_remaining_ops"": -0.1904480459401981, ""machine_remaining_work"": -0.10361503475179863, ""machine_transport"": 0.10303166722325985}","{""bottleneck"": 0.6670632961270015, ""disturbance"": 1.3009604103045596, ""job_urgency"": 0.7949695328440232, ""safety"": 1.0118714439517715, ""transport"": 1.1508261860167543}",1046,52.300000
900963,12,66.762751,16.312165,"{""agv_remaining_ops"": -0.1691118299339506, ""agv_transport"": 0.5234020265376745, ""agv_wait"": 0.181609196183562, ""machine_alt_gap"": 0.3155887314280365, ""machine_delay"": 0.42616937054466747, ""machine_pressure"": 0.6481656853746407, ""machine_proc"": 0.0, ""machine_queue"": 0.2959550281721394, ""machine_remaining_ops"": -0.24694194965837934, ""machine_remaining_work"": -0.05741177441701468, ""machine_transport"": 0.10810713135492767}","{""bottleneck"": 0.9820067560725648, ""disturbance"": 0.746217110584158, ""job_urgency"": 1.1097791029929722, ""safety"": 1.0273182912792307, ""transport"": 1.3312600788918392}",1047,52.350000
900379,12,66.762902,16.253012,"{""agv_remaining_ops"": -0.21614839189022175, ""agv_transport"": 0.9940012063884591, ""agv_wait"": 0.24092888578820776, ""machine_alt_gap"": 0.434110918451107, ""machine_delay"": 0.3284484070337234, ""machine_pressure"": 0.6444266002921364, ""machine_proc"": 0.0, ""machine_queue"": 0.8216469134632702, ""machine_remaining_ops"": -0.1269573261951476, ""machine_remaining_work"": -0.07779442916023574, ""machine_transport"": 0.060596389294830584}","{""bottleneck"": 0.7785959089391397, ""disturbance"": 1.4919448472978472, ""job_urgency"": 0.7635376937590923, ""safety"": 1.2385425379998405, ""transport"": 1.3949265393044115}",1048,52.400000
900998,12,66.767593,15.100532,"{""agv_remaining_ops"": -0.16659691732495793, ""agv_transport"": 1.473083597986867, ""agv_wait"": 0.24558654481203096, ""machine_alt_gap"": 0.51971234034369, ""machine_delay"": 0.46095768867018727, ""machine_pressure"": 0.611275788222986, ""machine_proc"": 0.0, ""machine_queue"": 0.3619004990074483, ""machine_remaining_ops"": -0.2480984943817082, ""machine_remaining_work"": -0.11974787884251117, ""machine_transport"": 0.0783150474652768}","{""bottleneck"": 0.9692612386505608, ""disturbance"": 0.8499444701944179, ""job_urgency"": 1.1976230881535779, ""safety"": 0.9362365728372196, ""transport"": 1.0288514598232426}",1049,52.450000
901452,12,66.769234,15.054524,"{""agv_remaining_ops"": -0.20360829611024234, ""agv_transport"": 0.777030192726318, ""agv_wait"": 0.3175313885847354, ""machine_alt_gap"": 0.40420482734890123, ""machine_delay"": 0.2648574905002646, ""machine_pressure"": 0.5922545710427993, ""machine_proc"": 0.0, ""machine_queue"": 0.5459981246812058, ""machine_remaining_ops"": -0.302383563813425, ""machine_remaining_work"": -0.055341461101756785, ""machine_transport"": 0.14921760287785005}","{""bottleneck"": 1.2501664059333404, ""disturbance"": 0.8040312381070067, ""job_urgency"": 0.7465288449170054, ""safety"": 0.5693736179223244, ""transport"": 0.7536675959498094}",1050,52.500000
900256,12,66.771983,15.917763,"{""agv_remaining_ops"": -0.18767821629949288, ""agv_transport"": 1.0976155348766923, ""agv_wait"": 0.1634829349873395, ""machine_alt_gap"": 0.3121745071775304, ""machine_delay"": 0.24861630245421115, ""machine_pressure"": 0.4711573937587237, ""machine_proc"": 0.0, ""machine_queue"": 0.785850735590337, ""machine_remaining_ops"": -0.2752042675517526, ""machine_remaining_work"": -0.1005804712835798, ""machine_transport"": 0.11823397310397177}","{""bottleneck"": 1.1260386609193764, ""disturbance"": 0.5976122672577461, ""job_urgency"": 0.8461804409678274, ""safety"": 1.33060397103867, ""transport"": 0.5851929525285497}",1051,52.550000
901209,12,66.773643,16.878875,"{""agv_remaining_ops"": -0.08391561966770486, ""agv_transport"": 1.4664491078260609, ""agv_wait"": 0.3452230098001736, ""machine_alt_gap"": 0.5182019359975792, ""machine_delay"": 0.4098565372033848, ""machine_pressure"": 0.6296895177021853, ""machine_proc"": 0.0, ""machine_queue"": 0.3862453082933467, ""machine_remaining_ops"": -0.2538545936015916, ""machine_remaining_work"": -0.11623149333861006, ""machine_transport"": 0.0853211225405193}","{""bottleneck"": 1.2129459074211457, ""disturbance"": 1.0402816525456315, ""job_urgency"": 0.5497309857933169, ""safety"": 1.4057791894243592, ""transport"": 1.3480734752172492}",1052,52.600000
900833,12,66.774242,14.964586,"{""agv_remaining_ops"": -0.08327435235286557, ""agv_transport"": 0.5239608491509867, ""agv_wait"": 0.18624209812069428, ""machine_alt_gap"": 0.24112025909031753, ""machine_delay"": 0.22864696290352862, ""machine_pressure"": 0.4050464199434048, ""machine_proc"": 0.0, ""machine_queue"": 0.4549473673552206, ""machine_remaining_ops"": -0.14214283502479558, ""machine_remaining_work"": -0.07839368697098213, ""machine_transport"": 0.08541565227332536}","{""bottleneck"": 1.3175040018139483, ""disturbance"": 0.89083954649387, ""job_urgency"": 0.601777610352325, ""safety"": 1.4918790337723875, ""transport"": 0.8485824242796748}",1053,52.650000
900893,12,66.774714,15.053160,"{""agv_remaining_ops"": -0.19240814586418387, ""agv_transport"": 1.0476411302744166, ""agv_wait"": 0.21712573567453114, ""machine_alt_gap"": 0.30034163581842027, ""machine_delay"": 0.4958579635518806, ""machine_pressure"": 0.3278320310560776, ""machine_proc"": 0.0, ""machine_queue"": 0.5807592506548752, ""machine_remaining_ops"": -0.1223774438145241, ""machine_remaining_work"": -0.05831779014713858, ""machine_transport"": 0.1496692210225784}","{""bottleneck"": 0.5284680654250707, ""disturbance"": 1.3579260593585274, ""job_urgency"": 0.9588927167119907, ""safety"": 0.5658467693969601, ""transport"": 0.7428906734686841}",1054,52.700000
900883,12,66.776730,14.945196,"{""agv_remaining_ops"": -0.09778117276072289, ""agv_transport"": 0.5713804731438712, ""agv_wait"": 0.2948443577288884, ""machine_alt_gap"": 0.38506934130328424, ""machine_delay"": 0.4663956807174661, ""machine_pressure"": 0.47062830938672834, ""machine_proc"": 0.0, ""machine_queue"": 0.6965538787615368, ""machine_remaining_ops"": -0.19195519257108867, ""machine_remaining_work"": -0.07066675416869765, ""machine_transport"": 0.11824683975424029}","{""bottleneck"": 0.9096603748468854, ""disturbance"": 1.4355268965118873, ""job_urgency"": 1.4655733809225064, ""safety"": 0.8962657366207187, ""transport"": 0.7421768779099532}",1055,52.750000
900622,12,66.778561,15.239492,"{""agv_remaining_ops"": -0.21278247033467015, ""agv_transport"": 1.2478503891589074, ""agv_wait"": 0.26032647633615214, ""machine_alt_gap"": 0.3281153341419296, ""machine_delay"": 0.19981008615406223, ""machine_pressure"": 0.6587689355475427, ""machine_proc"": 0.0, ""machine_queue"": 0.3179680022236633, ""machine_remaining_ops"": -0.20604073045457783, ""machine_remaining_work"": -0.07627662776982018, ""machine_transport"": 0.12530042810503073}","{""bottleneck"": 1.3400441445534779, ""disturbance"": 1.1726061748484113, ""job_urgency"": 0.5916146058740537, ""safety"": 1.3574808713147575, ""transport"": 0.8596893376897946}",1056,52.800000
900442,12,66.779118,15.019986,"{""agv_remaining_ops"": -0.18203946682366537, ""agv_transport"": 1.13154200913393, ""agv_wait"": 0.23504516439166842, ""machine_alt_gap"": 0.41100544452600773, ""machine_delay"": 0.264792487412782, ""machine_pressure"": 0.3413123314770477, ""machine_proc"": 0.0, ""machine_queue"": 0.6969788852857888, ""machine_remaining_ops"": -0.2146084328775791, ""machine_remaining_work"": -0.1193006912431504, ""machine_transport"": 0.13960512706238837}","{""bottleneck"": 0.9252309852573499, ""disturbance"": 0.545416483961062, ""job_urgency"": 1.1842464706540168, ""safety"": 0.864723597647055, ""transport"": 0.9682506423642497}",1057,52.850000
900043,12,66.779373,15.315972,"{""agv_remaining_ops"": -0.16966634670896863, ""agv_transport"": 1.4338093965086909, ""agv_wait"": 0.15260326746950353, ""machine_alt_gap"": 0.4304081943197362, ""machine_delay"": 0.3858487259952169, ""machine_pressure"": 0.343533413748525, ""machine_proc"": 0.0, ""machine_queue"": 0.784368737798881, ""machine_remaining_ops"": -0.25788021962062846, ""machine_remaining_work"": -0.07473563200047773, ""machine_transport"": 0.06031574945037373}","{""bottleneck"": 0.9608819443211164, ""disturbance"": 1.2354058222930964, ""job_urgency"": 1.275291787414262, ""safety"": 0.6971753983668466, ""transport"": 0.8421115025576033}",1058,52.900000
901794,12,66.780957,15.204083,"{""agv_remaining_ops"": -0.1496445077487089, ""agv_transport"": 0.9523976411970496, ""agv_wait"": 0.13597086017249077, ""machine_alt_gap"": 0.42691325391970664, ""machine_delay"": 0.2664920278978085, ""machine_pressure"": 0.6765050182903556, ""machine_proc"": 0.0, ""machine_queue"": 0.5567065723819437, ""machine_remaining_ops"": -0.27158481892053615, ""machine_remaining_work"": -0.0638955122338957, ""machine_transport"": 0.07993922360150278}","{""bottleneck"": 1.0890378885171828, ""disturbance"": 1.2697371684943364, ""job_urgency"": 1.1680917642599593, ""safety"": 1.2567273468223021, ""transport"": 1.4334321642399364}",1059,52.950000
900544,12,66.780978,15.915097,"{""agv_remaining_ops"": -0.14834753514734747, ""agv_transport"": 0.9575386826680863, ""agv_wait"": 0.2006605451288126, ""machine_alt_gap"": 0.3310480146516875, ""machine_delay"": 0.5005908276814416, ""machine_pressure"": 0.2951030620148189, ""machine_proc"": 0.0, ""machine_queue"": 0.3375720565836124, ""machine_remaining_ops"": -0.2809927217899872, ""machine_remaining_work"": -0.09397083420193353, ""machine_transport"": 0.11658727213315787}","{""bottleneck"": 0.7630269811786942, ""disturbance"": 1.1364622747609594, ""job_urgency"": 0.6673243953478336, ""safety"": 0.6929606401108844, ""transport"": 1.1805304213673105}",1060,53.000000
