scale,event_type,budget_sec,algorithm,n_rows,n_metric_rows,mean,std,median,min,max
L,mixed,0.1,SA,5,5,0.169414,0.013326,0.172121,0.149929,0.183593
L,mixed,0.5,B-CORE,5,5,0.000531,0.000037,0.000518,0.000499,0.000586
L,mixed,0.5,B-CORE-no-bottleneck,5,5,0.000530,0.000088,0.000509,0.000465,0.000684
L,mixed,0.5,B-CORE-no-graph,5,5,0.000491,0.000033,0.000495,0.000438,0.000530
L,mixed,0.5,DCGA,5,5,0.565698,0.008318,0.565000,0.558298,0.578728
L,mixed,0.5,GA,5,5,0.553874,0.012611,0.553660,0.541389,0.572336
L,mixed,0.5,LNS,5,5,0.558541,0.007511,0.556244,0.552432,0.570539
L,mixed,0.5,MOEA-NSGA2,5,5,1.011136,0.069512,1.014211,0.948174,1.118794
L,mixed,0.5,MOR,5,5,0.000021,0.000005,0.000021,0.000015,0.000026
L,mixed,0.5,MachineRank,5,5,0.000249,0.000024,0.000243,0.000226,0.000277
L,mixed,0.5,SA,5,5,0.563521,0.009701,0.563177,0.549213,0.575783
L,mixed,1.0,B-CORE,5,5,0.000497,0.000021,0.000492,0.000478,0.000528
L,mixed,1.0,B-CORE-no-bottleneck,5,5,0.000527,0.000067,0.000494,0.000464,0.000610
L,mixed,1.0,B-CORE-no-graph,5,5,0.000494,0.000047,0.000478,0.000447,0.000552
L,mixed,1.0,DCGA,5,5,1.066375,0.011323,1.066019,1.050149,1.079994
L,mixed,1.0,GA,5,5,1.056027,0.020803,1.064922,1.019102,1.068718
L,mixed,1.0,LNS,5,5,1.060894,0.021193,1.066316,1.040157,1.090869
L,mixed,1.0,MOEA-NSGA2,5,5,1.069931,0.029545,1.063799,1.037838,1.118230
L,mixed,1.0,MOR,5,5,0.000023,0.000011,0.000020,0.000012,0.000040
L,mixed,1.0,MachineRank,5,5,0.000245,0.000021,0.000244,0.000212,0.000267
L,mixed,1.0,SA,5,5,1.064071,0.011724,1.064503,1.051065,1.082010
L,mixed,10.0,B-CORE,5,5,0.000525,0.000067,0.000541,0.000449,0.000618
L,mixed,10.0,B-CORE-no-bottleneck,5,5,0.000512,0.000042,0.000509,0.000460,0.000574
L,mixed,10.0,B-CORE-no-graph,5,5,0.000513,0.000053,0.000507,0.000447,0.000583
L,mixed,10.0,DCGA,5,5,10.055941,0.016570,10.057964,10.037072,10.079920
L,mixed,10.0,GA,5,5,10.054264,0.018341,10.060101,10.034306,10.072915
L,mixed,10.0,LNS,5,5,10.054701,0.011900,10.054399,10.038590,10.071886
L,mixed,10.0,MOEA-NSGA2,5,5,10.062693,0.020432,10.066221,10.028605,10.079696
L,mixed,10.0,MOR,5,5,0.000018,0.000006,0.000017,0.000011,0.000028
L,mixed,10.0,MachineRank,5,5,0.000270,0.000046,0.000265,0.000225,0.000346
L,mixed,10.0,SA,5,5,10.065310,0.016101,10.067085,10.045249,10.086352
L,mixed,5.0,B-CORE,5,5,0.000485,0.000041,0.000504,0.000430,0.000528
L,mixed,5.0,B-CORE-no-bottleneck,5,5,0.000534,0.000062,0.000529,0.000469,0.000635
L,mixed,5.0,B-CORE-no-graph,5,5,0.000496,0.000041,0.000480,0.000454,0.000556
L,mixed,5.0,DCGA,5,5,5.058559,0.014778,5.051317,5.044402,5.081164
L,mixed,5.0,GA,5,5,5.063767,0.014916,5.058069,5.049979,5.085451
L,mixed,5.0,LNS,5,5,5.053919,0.026549,5.063833,5.008381,5.072520
L,mixed,5.0,MOEA-NSGA2,5,5,5.067915,0.012440,5.061848,5.055323,5.086335
L,mixed,5.0,MOR,5,5,0.000019,0.000006,0.000019,0.000012,0.000025
L,mixed,5.0,MachineRank,5,5,0.000252,0.000024,0.000247,0.000218,0.000276
L,mixed,5.0,SA,5,5,5.045622,0.026353,5.034888,5.023814,5.088492
L,rush_job,0.1,B-CORE,5,5,0.000556,0.000055,0.000561,0.000473,0.000610
L,rush_job,0.1,B-CORE-no-bottleneck,5,5,0.000711,0.000530,0.000524,0.000340,0.001649
L,rush_job,0.1,B-CORE-no-graph,5,5,0.000509,0.000025,0.000515,0.000468,0.000531
L,rush_job,0.1,DCGA,5,5,0.158718,0.016700,0.155337,0.137574,0.180513
L,rush_job,0.1,GA,5,5,0.156681,0.017065,0.158736,0.137505,0.178998
L,rush_job,0.1,LNS,5,5,0.156220,0.013773,0.156265,0.141692,0.176500
L,rush_job,0.1,MOEA-NSGA2,5,5,0.956961,0.063252,0.970919,0.870672,1.040834
L,rush_job,0.1,MOR,5,5,0.000020,0.000006,0.000019,0.000013,0.000028
L,rush_job,0.1,MachineRank,5,5,0.000274,0.000027,0.000274,0.000240,0.000315
L,rush_job,0.1,SA,5,5,0.155819,0.017749,0.156924,0.128674,0.173265
L,rush_job,0.5,B-CORE,5,5,0.000518,0.000063,0.000499,0.000459,0.000623
L,rush_job,0.5,B-CORE-no-bottleneck,5,5,0.000506,0.000092,0.000481,0.000420,0.000660
L,rush_job,0.5,B-CORE-no-graph,5,5,0.000447,0.000085,0.000465,0.000304,0.000528
L,rush_job,0.5,DCGA,5,5,0.565426,0.015354,0.572087,0.538968,0.576275
L,rush_job,0.5,GA,5,5,0.555892,0.019455,0.554336,0.533140,0.576319
L,rush_job,0.5,LNS,5,5,0.557202,0.020546,0.567458,0.520720,0.568140
L,rush_job,0.5,MOEA-NSGA2,5,5,0.980055,0.042802,0.984395,0.918207,1.036927
L,rush_job,0.5,MOR,5,5,0.000016,0.000006,0.000017,0.000010,0.000025
L,rush_job,0.5,MachineRank,5,5,0.000269,0.000044,0.000254,0.000237,0.000343
L,rush_job,0.5,SA,5,5,0.556219,0.023999,0.569023,0.516050,0.574662
L,rush_job,1.0,B-CORE,5,5,0.000493,0.000033,0.000471,0.000468,0.000540
L,rush_job,1.0,B-CORE-no-bottleneck,5,5,0.000481,0.000087,0.000477,0.000360,0.000604
L,rush_job,1.0,B-CORE-no-graph,5,5,0.000559,0.000133,0.000522,0.000461,0.000788
L,rush_job,1.0,DCGA,5,5,1.061105,0.014473,1.062930,1.043841,1.075993
L,rush_job,1.0,GA,5,5,1.060330,0.024044,1.069947,1.017646,1.075832
L,rush_job,1.0,LNS,5,5,1.052029,0.029736,1.065976,1.006086,1.079502
L,rush_job,1.0,MOEA-NSGA2,5,5,1.066002,0.027159,1.073127,1.018893,1.089084
L,rush_job,1.0,MOR,5,5,0.000018,0.000006,0.000015,0.000012,0.000026
L,rush_job,1.0,MachineRank,5,5,0.000248,0.000011,0.000245,0.000235,0.000264
L,rush_job,1.0,SA,5,5,1.054334,0.016081,1.053149,1.029468,1.069263
L,rush_job,10.0,B-CORE,5,5,0.000541,0.000075,0.000540,0.000466,0.000619
L,rush_job,10.0,B-CORE-no-bottleneck,5,5,0.000514,0.000024,0.000524,0.000470,0.000526
L,rush_job,10.0,B-CORE-no-graph,5,5,0.000528,0.000063,0.000495,0.000467,0.000602
L,rush_job,10.0,DCGA,5,5,10.059058,0.016782,10.059508,10.032136,10.075540
L,rush_job,10.0,GA,5,5,10.062530,0.010437,10.063342,10.047079,10.075624
L,rush_job,10.0,LNS,5,5,10.065057,0.016908,10.067930,10.038864,10.085910
L,rush_job,10.0,MOEA-NSGA2,5,5,10.060844,0.009109,10.058686,10.052104,10.072729
L,rush_job,10.0,MOR,5,5,0.000018,0.000005,0.000018,0.000011,0.000023
L,rush_job,10.0,MachineRank,5,5,0.000293,0.000095,0.000258,0.000236,0.000461
L,rush_job,10.0,SA,5,5,10.053153,0.010927,10.050020,10.039098,10.067734
L,rush_job,5.0,B-CORE,5,5,0.000486,0.000020,0.000484,0.000464,0.000518
L,rush_job,5.0,B-CORE-no-bottleneck,5,5,0.000461,0.000096,0.000492,0.000293,0.000538
L,rush_job,5.0,B-CORE-no-graph,5,5,0.000523,0.000045,0.000516,0.000473,0.000590
L,rush_job,5.0,DCGA,5,5,5.047835,0.012858,5.046284,5.035408,5.063079
L,rush_job,5.0,GA,5,5,5.040432,0.022740,5.043296,5.016052,5.074208
L,rush_job,5.0,LNS,5,5,5.066611,0.011171,5.070610,5.049941,5.076973
L,rush_job,5.0,MOEA-NSGA2,5,5,5.060501,0.008401,5.059287,5.052948,5.074701
L,rush_job,5.0,MOR,5,5,0.000020,0.000010,0.000015,0.000011,0.000034
L,rush_job,5.0,MachineRank,5,5,0.000261,0.000045,0.000257,0.000222,0.000335
L,rush_job,5.0,SA,5,5,5.053216,0.023786,5.062951,5.010771,5.066050
M,breakdown,0.1,B-CORE,5,5,0.000308,0.000052,0.000324,0.000224,0.000362
M,breakdown,0.1,B-CORE-no-bottleneck,5,5,0.000265,0.000060,0.000235,0.000206,0.000355
M,breakdown,0.1,B-CORE-no-graph,5,5,0.000365,0.000109,0.000351,0.000239,0.000528
M,breakdown,0.1,DCGA,5,5,0.112709,0.005272,0.113239,0.104295,0.118888
M,breakdown,0.1,GA,5,5,0.114716,0.002132,0.114055,0.112497,0.117506
M,breakdown,0.1,LNS,5,5,0.113264,0.003711,0.113342,0.109096,0.118481
M,breakdown,0.1,MOEA-NSGA2,5,5,0.229621,0.021267,0.230083,0.201738,0.257200
M,breakdown,0.1,MOR,5,5,0.000009,0.000002,0.000010,0.000006,0.000012
M,breakdown,0.1,MachineRank,5,5,0.000122,0.000026,0.000125,0.000083,0.000146
M,breakdown,0.1,SA,5,5,0.110648,0.004398,0.109606,0.106585,0.117903
M,breakdown,0.5,B-CORE,5,5,0.000305,0.000044,0.000320,0.000230,0.000342
M,breakdown,0.5,B-CORE-no-bottleneck,5,5,0.000313,0.000062,0.000309,0.000222,0.000373
M,breakdown,0.5,B-CORE-no-graph,5,5,0.000321,0.000067,0.000339,0.000209,0.000383
M,breakdown,0.5,DCGA,5,5,0.514357,0.005644,0.511232,0.509253,0.522723
M,breakdown,0.5,GA,5,5,0.513717,0.003203,0.512905,0.510495,0.517495
M,breakdown,0.5,LNS,5,5,0.511865,0.001825,0.512083,0.508842,0.513456
M,breakdown,0.5,MOEA-NSGA2,5,5,0.513497,0.004025,0.511175,0.510038,0.518451
M,breakdown,0.5,MOR,5,5,0.000009,0.000002,0.000010,0.000007,0.000011
M,breakdown,0.5,MachineRank,5,5,0.000131,0.000008,0.000133,0.000119,0.000139
M,breakdown,0.5,SA,5,5,0.513425,0.002357,0.513393,0.509933,0.516531
M,breakdown,1.0,B-CORE,5,5,0.000325,0.000025,0.000330,0.000294,0.000359
M,breakdown,1.0,B-CORE-no-bottleneck,5,5,0.000314,0.000065,0.000344,0.000209,0.000372
M,breakdown,1.0,B-CORE-no-graph,5,5,0.000351,0.000035,0.000355,0.000308,0.000389
M,breakdown,1.0,DCGA,5,5,1.015318,0.001941,1.015860,1.012087,1.017027
M,breakdown,1.0,GA,5,5,1.013504,0.004577,1.012558,1.008588,1.020000
M,breakdown,1.0,LNS,5,5,1.012300,0.004660,1.012480,1.005525,1.017161
M,breakdown,1.0,MOEA-NSGA2,5,5,1.014167,0.003036,1.012933,1.012240,1.019529
M,breakdown,1.0,MOR,5,5,0.000009,0.000002,0.000009,0.000005,0.000011
M,breakdown,1.0,MachineRank,5,5,0.000121,0.000020,0.000124,0.000087,0.000136
M,breakdown,1.0,SA,5,5,1.015521,0.003771,1.015802,1.010766,1.019999
M,breakdown,10.0,B-CORE,5,5,0.000315,0.000063,0.000323,0.000234,0.000402
M,breakdown,10.0,B-CORE-no-bottleneck,5,5,0.000318,0.000067,0.000331,0.000210,0.000383
M,breakdown,10.0,B-CORE-no-graph,5,5,0.000334,0.000063,0.000356,0.000233,0.000394
M,breakdown,10.0,DCGA,5,5,10.014325,0.003226,10.016283,10.010687,10.017218
M,breakdown,10.0,GA,5,5,10.011727,0.004596,10.013200,10.004973,10.017167
M,breakdown,10.0,LNS,5,5,9.383137,0.781436,9.852881,8.185553,9.951685
M,breakdown,10.0,MOEA-NSGA2,5,5,10.012056,0.002555,10.012145,10.009674,10.016133
M,breakdown,10.0,MOR,5,5,0.000010,0.000003,0.000010,0.000006,0.000014
M,breakdown,10.0,MachineRank,5,5,0.000117,0.000029,0.000123,0.000086,0.000145
M,breakdown,10.0,SA,5,5,9.370522,0.585990,9.405766,8.584292,9.964891
M,breakdown,5.0,B-CORE,5,5,0.000333,0.000025,0.000332,0.000311,0.000373
M,breakdown,5.0,B-CORE-no-bottleneck,5,5,0.000317,0.000069,0.000333,0.000204,0.000377
M,breakdown,5.0,B-CORE-no-graph,5,5,0.000322,0.000054,0.000321,0.000235,0.000376
M,breakdown,5.0,DCGA,5,5,5.013359,0.006156,5.015090,5.003010,5.019519
M,breakdown,5.0,GA,5,5,5.015491,0.003004,5.015644,5.011399,5.019498
M,breakdown,5.0,LNS,5,5,5.013692,0.003120,5.013342,5.009932,5.017942
M,breakdown,5.0,MOEA-NSGA2,5,5,5.008764,0.005283,5.008568,5.003797,5.016918
M,breakdown,5.0,MOR,5,5,0.000010,0.000002,0.000011,0.000006,0.000011
M,breakdown,5.0,MachineRank,5,5,0.000119,0.000020,0.000124,0.000085,0.000135
M,breakdown,5.0,SA,5,5,5.010813,0.001636,5.011242,5.008164,5.012498
M,mixed,0.1,B-CORE,5,5,0.000303,0.000044,0.000321,0.000225,0.000328
M,mixed,0.1,B-CORE-no-bottleneck,5,5,0.000335,0.000020,0.000332,0.000312,0.000367
M,mixed,0.1,B-CORE-no-graph,5,5,0.001244,0.002078,0.000319,0.000307,0.004962
M,mixed,0.1,DCGA,5,5,0.112366,0.005593,0.112055,0.104920,0.119565
M,mixed,0.1,GA,5,5,0.114417,0.004039,0.114399,0.110305,0.119172
M,mixed,0.1,LNS,5,5,0.111173,0.004356,0.108909,0.108108,0.118302
M,mixed,0.1,MOEA-NSGA2,5,5,0.226213,0.027381,0.226934,0.191724,0.265496
M,mixed,0.1,MOR,5,5,0.000011,0.000002,0.000010,0.000009,0.000014
M,mixed,0.1,MachineRank,5,5,0.000132,0.000007,0.000131,0.000126,0.000143
M,mixed,0.1,SA,5,5,0.111715,0.005155,0.112289,0.103531,0.117835
M,mixed,0.5,B-CORE,5,5,0.000310,0.000056,0.000322,0.000215,0.000360
M,mixed,0.5,B-CORE-no-bottleneck,5,5,0.000331,0.000025,0.000326,0.000303,0.000371
M,mixed,0.5,B-CORE-no-graph,5,5,0.000324,0.000017,0.000321,0.000303,0.000351
M,mixed,0.5,DCGA,5,5,0.516306,0.003390,0.515751,0.512176,0.521319
M,mixed,0.5,GA,5,5,0.517371,0.002210,0.517162,0.514418,0.520633
M,mixed,0.5,LNS,5,5,0.513982,0.005794,0.515245,0.504450,0.519843
M,mixed,0.5,MOEA-NSGA2,5,5,0.515705,0.002876,0.514605,0.512138,0.518716
M,mixed,0.5,MOR,5,5,0.000010,0.000001,0.000010,0.000009,0.000011
M,mixed,0.5,MachineRank,5,5,0.000126,0.000005,0.000125,0.000122,0.000135
M,mixed,0.5,SA,5,5,0.514400,0.006496,0.514482,0.505725,0.522184
M,mixed,1.0,B-CORE,5,5,0.000332,0.000016,0.000330,0.000318,0.000358
M,mixed,1.0,B-CORE-no-bottleneck,5,5,0.000325,0.000019,0.000321,0.000307,0.000354
M,mixed,1.0,B-CORE-no-graph,5,5,0.000326,0.000014,0.000320,0.000315,0.000349
M,mixed,1.0,DCGA,5,5,1.013398,0.001876,1.014087,1.010533,1.015307
M,mixed,1.0,GA,5,5,1.011540,0.002736,1.012485,1.007047,1.014029
M,mixed,1.0,LNS,5,5,1.014109,0.004266,1.015711,1.007173,1.018232
M,mixed,1.0,MOEA-NSGA2,5,5,1.016981,0.002977,1.017691,1.012405,1.020065
M,mixed,1.0,MOR,5,5,0.000010,0.000001,0.000010,0.000009,0.000012
M,mixed,1.0,MachineRank,5,5,0.000131,0.000006,0.000128,0.000124,0.000138
M,mixed,1.0,SA,5,5,1.014921,0.002144,1.016164,1.012192,1.016630
M,mixed,10.0,B-CORE,5,5,0.000280,0.000060,0.000321,0.000208,0.000327
M,mixed,10.0,B-CORE-no-bottleneck,5,5,0.000261,0.000071,0.000213,0.000204,0.000351
