experiment_id,timestamp,instance_id,scale,event_type,instance_seed,dynamic_seed,algorithm_seed,budget_sec,algorithm,status,error_message,runtime_sec,model_type,solver,solver_status,n_jobs,n_machines,n_agvs,n_ops_per_job,exact_or_relaxed_objective,exact_or_relaxed_makespan,exact_or_relaxed_agv_travel,exact_best_bound,bcore_objective,bcore_makespan,bcore_agv_travel,gap_pct_vs_exact_or_relaxed,exact_runtime_sec,bcore_runtime_sec,speedup_ratio,feasible,timeout,notes
exact|breakdown|J2|M2|A1|O2|51,2026-06-03T14:43:41,breakdown_J2_M2_A1_O2_seed51,J2_M2_A1_O2,breakdown,51,30051,51,60.0,,solved,,0.006966,complete_simulator_branch_bound_agv_path_tiny,project_environment_branch_bound,solved,2,2,1,2,12.000000,12.000000,,12.000000,12.000000,12.000000,not_logged_by_exact_worker,0.000000,0.005596,0.000681,8.222451,true,false,Tiny branch-bound rows are exact over the project simulator. Other rows are CP-SAT transport-capacity relaxation; empty AGV repositioning/path conflicts are relaxed.
exact|rush_job|J2|M2|A1|O2|45,2026-06-03T14:43:41,rush_job_J2_M2_A1_O2_seed45,J2_M2_A1_O2,rush_job,45,40045,45,60.0,,solved,,0.062699,complete_simulator_branch_bound_agv_path_tiny,project_environment_branch_bound,solved,2,2,1,2,10.692582,10.692582,,10.692582,10.692582,10.692582,not_logged_by_exact_worker,0.000000,0.060633,0.001279,47.399311,true,false,Tiny branch-bound rows are exact over the project simulator. Other rows are CP-SAT transport-capacity relaxation; empty AGV repositioning/path conflicts are relaxed.
exact|rush_job|J2|M2|A1|O2|42,2026-06-03T14:43:42,rush_job_J2_M2_A1_O2_seed42,J2_M2_A1_O2,rush_job,42,40042,42,60.0,,solved,,0.175745,complete_simulator_branch_bound_agv_path_tiny,project_environment_branch_bound,solved,2,2,1,2,14.100909,14.100909,,14.100909,14.408327,14.408327,not_logged_by_exact_worker,2.180126,0.173284,0.001558,111.186590,true,false,Tiny branch-bound rows are exact over the project simulator. Other rows are CP-SAT transport-capacity relaxation; empty AGV repositioning/path conflicts are relaxed.
exact|rush_job|J2|M2|A1|O2|43,2026-06-03T14:43:42,rush_job_J2_M2_A1_O2_seed43,J2_M2_A1_O2,rush_job,43,40043,43,60.0,,solved,,0.252580,complete_simulator_branch_bound_agv_path_tiny,project_environment_branch_bound,solved,2,2,1,2,14.298134,14.298134,,14.298134,15.692582,15.692582,not_logged_by_exact_worker,9.752663,0.250282,0.001500,166.854935,true,false,Tiny branch-bound rows are exact over the project simulator. Other rows are CP-SAT transport-capacity relaxation; empty AGV repositioning/path conflicts are relaxed.
exact|rush_job|J2|M2|A1|O2|44,2026-06-03T14:43:42,rush_job_J2_M2_A1_O2_seed44,J2_M2_A1_O2,rush_job,44,40044,44,60.0,,solved,,0.358745,complete_simulator_branch_bound_agv_path_tiny,project_environment_branch_bound,solved,2,2,1,2,12.692582,12.692582,,12.692582,17.077747,17.077747,not_logged_by_exact_worker,34.549036,0.356365,0.001580,225.533446,true,false,Tiny branch-bound rows are exact over the project simulator. Other rows are CP-SAT transport-capacity relaxation; empty AGV repositioning/path conflicts are relaxed.
exact|rush_job|J2|M2|A1|O2|47,2026-06-03T14:43:42,rush_job_J2_M2_A1_O2_seed47,J2_M2_A1_O2,rush_job,47,40047,47,60.0,,solved,,0.333302,complete_simulator_branch_bound_agv_path_tiny,project_environment_branch_bound,solved,2,2,1,2,14.495358,14.495358,,14.495358,18.692582,18.692582,not_logged_by_exact_worker,28.955645,0.330865,0.001507,219.537326,true,false,Tiny branch-bound rows are exact over the project simulator. Other rows are CP-SAT transport-capacity relaxation; empty AGV repositioning/path conflicts are relaxed.
exact|rush_job|J2|M2|A1|O2|49,2026-06-03T14:43:42,rush_job_J2_M2_A1_O2_seed49,J2_M2_A1_O2,rush_job,49,40049,49,60.0,,solved,,0.215667,complete_simulator_branch_bound_agv_path_tiny,project_environment_branch_bound,solved,2,2,1,2,13.077747,13.077747,,13.077747,16.462912,16.462912,not_logged_by_exact_worker,25.884923,0.213409,0.001434,148.810264,true,false,Tiny branch-bound rows are exact over the project simulator. Other rows are CP-SAT transport-capacity relaxation; empty AGV repositioning/path conflicts are relaxed.
exact|rush_job|J2|M2|A1|O2|46,2026-06-03T14:43:42,rush_job_J2_M2_A1_O2_seed46,J2_M2_A1_O2,rush_job,46,40046,46,60.0,,solved,,0.554421,complete_simulator_branch_bound_agv_path_tiny,project_environment_branch_bound,solved,2,2,1,2,13.692582,13.692582,,13.692582,14.000000,14.000000,not_logged_by_exact_worker,2.245140,0.552190,0.001383,399.384929,true,false,Tiny branch-bound rows are exact over the project simulator. Other rows are CP-SAT transport-capacity relaxation; empty AGV repositioning/path conflicts are relaxed.
exact|rush_job|J2|M2|A1|O2|48,2026-06-03T14:43:42,rush_job_J2_M2_A1_O2_seed48,J2_M2_A1_O2,rush_job,48,40048,48,60.0,,solved,,0.390565,complete_simulator_branch_bound_agv_path_tiny,project_environment_branch_bound,solved,2,2,1,2,11.000000,11.000000,,11.000000,12.077747,12.077747,not_logged_by_exact_worker,9.797702,0.388374,0.001355,286.580360,true,false,Tiny branch-bound rows are exact over the project simulator. Other rows are CP-SAT transport-capacity relaxation; empty AGV repositioning/path conflicts are relaxed.
exact|mixed|J2|M2|A1|O2|42,2026-06-03T14:43:42,mixed_J2_M2_A1_O2_seed42,J2_M2_A1_O2,mixed,42,50042,42,60.0,,solved,,0.086626,complete_simulator_branch_bound_agv_path_tiny,project_environment_branch_bound,solved,2,2,1,2,14.880523,14.880523,,14.880523,15.077747,15.077747,not_logged_by_exact_worker,1.325386,0.084358,0.001446,58.359253,true,false,Tiny branch-bound rows are exact over the project simulator. Other rows are CP-SAT transport-capacity relaxation; empty AGV repositioning/path conflicts are relaxed.
exact|mixed|J2|M2|A1|O2|43,2026-06-03T14:43:42,mixed_J2_M2_A1_O2_seed43,J2_M2_A1_O2,mixed,43,50043,43,60.0,,solved,,0.075443,complete_simulator_branch_bound_agv_path_tiny,project_environment_branch_bound,solved,2,2,1,2,14.692582,14.692582,,14.692582,16.692582,16.692582,not_logged_by_exact_worker,13.612311,0.073047,0.001383,52.817571,true,false,Tiny branch-bound rows are exact over the project simulator. Other rows are CP-SAT transport-capacity relaxation; empty AGV repositioning/path conflicts are relaxed.
exact|rush_job|J2|M2|A1|O2|50,2026-06-03T14:43:42,rush_job_J2_M2_A1_O2_seed50,J2_M2_A1_O2,rush_job,50,40050,50,60.0,,solved,,0.238578,complete_simulator_branch_bound_agv_path_tiny,project_environment_branch_bound,solved,2,2,1,2,13.000000,13.000000,,13.000000,13.692582,13.692582,not_logged_by_exact_worker,5.327557,0.236205,0.001519,155.510766,true,false,Tiny branch-bound rows are exact over the project simulator. Other rows are CP-SAT transport-capacity relaxation; empty AGV repositioning/path conflicts are relaxed.
