weight_seed,rank,mean_objective,coeff_json,component_json
901227,1,62.812809,"{""agv_remaining_ops"": -0.09659527868392827, ""agv_transport"": 0.9759301949367033, ""agv_wait"": 0.3342923852919811, ""machine_alt_gap"": 0.1918967878878333, ""machine_delay"": 0.29842977801911913, ""machine_pressure"": 0.512898984713562, ""machine_proc"": 0.0, ""machine_queue"": 0.5236032984045588, ""machine_remaining_ops"": -0.2575830866360669, ""machine_remaining_work"": -0.11824247902898431, ""machine_transport"": 0.17554373971880047}","{""bottleneck"": 1.3138428987485815, ""disturbance"": 0.5161003555211564, ""job_urgency"": 1.2513453867215074, ""safety"": 1.0446927038793556, ""transport"": 0.8150790239338124}"
900408,2,62.907640,"{""agv_remaining_ops"": -0.14622709623669328, ""agv_transport"": 0.9530623084437201, ""agv_wait"": 0.3112180611312524, ""machine_alt_gap"": 0.2334144052324806, ""machine_delay"": 0.3007564409859658, ""machine_pressure"": 0.25202279229228003, ""machine_proc"": 0.0, ""machine_queue"": 0.5217745666544279, ""machine_remaining_ops"": -0.20365562813328786, ""machine_remaining_work"": -0.11385307073889346, ""machine_transport"": 0.17765664091878863}","{""bottleneck"": 1.436915763239818, ""disturbance"": 0.8114210730169393, ""job_urgency"": 1.281057695142452, ""safety"": 1.414887205585912, ""transport"": 1.3024896885647543}"
901793,3,62.952261,"{""agv_remaining_ops"": -0.13229698078955568, ""agv_transport"": 0.7132272017855519, ""agv_wait"": 0.23619807840379695, ""machine_alt_gap"": 0.2169627503709808, ""machine_delay"": 0.18110125576796526, ""machine_pressure"": 0.6421530466596919, ""machine_proc"": 0.0, ""machine_queue"": 0.4135282909596388, ""machine_remaining_ops"": -0.13690907859832172, ""machine_remaining_work"": -0.1049105495580151, ""machine_transport"": 0.1766822866989442}","{""bottleneck"": 0.7026703312484855, ""disturbance"": 0.7819059051653201, ""job_urgency"": 1.0192963677730416, ""safety"": 0.5518741575720745, ""transport"": 0.8495409986338929}"
900269,4,62.957871,"{""agv_remaining_ops"": -0.15036263680019554, ""agv_transport"": 0.8657244736357379, ""agv_wait"": 0.29538301222727303, ""machine_alt_gap"": 0.21186987891621917, ""machine_delay"": 0.18584165396997054, ""machine_pressure"": 0.44916496320574845, ""machine_proc"": 0.0, ""machine_queue"": 0.6474472206725755, ""machine_remaining_ops"": -0.3247255852490442, ""machine_remaining_work"": -0.10629414049970105, ""machine_transport"": 0.1388768579856842}","{""bottleneck"": 1.0846589688885007, ""disturbance"": 0.8321456609344797, ""job_urgency"": 1.322302087540159, ""safety"": 1.4411670076079148, ""transport"": 1.4334815858277912}"
901605,5,62.968342,"{""agv_remaining_ops"": -0.167444814279411, ""agv_transport"": 0.6652396365477099, ""agv_wait"": 0.1529254460225729, ""machine_alt_gap"": 0.1864403423293227, ""machine_delay"": 0.4077870117687129, ""machine_pressure"": 0.5470446145446893, ""machine_proc"": 0.0, ""machine_queue"": 0.6579540896346805, ""machine_remaining_ops"": -0.14052505625818362, ""machine_remaining_work"": -0.09882568891161891, ""machine_transport"": 0.10381832664749029}","{""bottleneck"": 1.453845779434599, ""disturbance"": 1.1547388465680184, ""job_urgency"": 0.8771201136345306, ""safety"": 1.0076028249274664, ""transport"": 1.3889592424559205}"
