experiment_id,timestamp,instance_id,scale,event_type,instance_seed,dynamic_seed,algorithm_seed,budget_sec,algorithm,status,error_message,runtime_sec,weight_name,weight_kind,perturbation_percent,weight_seed,coeff_json,component_json,makespan,objective,agv_travel,latency,rank,percentile,notes
weight_single|S|mixed|43|machine_remaining_ops|single_coeff|-10,2026-06-03T15:01:55,S_mixed_seed43,S,mixed,43,50043,50043,0.0,B-CORE,solved,,0.013187,machine_remaining_ops,single_coeff,-10,0,"{""machine_remaining_ops"": -0.198}",{},61.747027,61.747027,271.534013,0.000154,,,q_p is represented by machine_pressure and remains machine-side only; AGV q_p is N/A
weight_single|S|mixed|43|machine_alt_gap|single_coeff|50,2026-06-03T15:01:55,S_mixed_seed43,S,mixed,43,50043,50043,0.0,B-CORE,solved,,0.013718,machine_alt_gap,single_coeff,50,0,"{""machine_alt_gap"": 0.5249999999999999}",{},61.718095,61.718095,291.534013,0.000163,,,q_p is represented by machine_pressure and remains machine-side only; AGV q_p is N/A
weight_single|S|mixed|43|machine_remaining_ops|single_coeff|25,2026-06-03T15:01:55,S_mixed_seed43,S,mixed,43,50043,50043,0.0,B-CORE,solved,,0.013336,machine_remaining_ops,single_coeff,25,0,"{""machine_remaining_ops"": -0.275}",{},61.747027,61.747027,271.534013,0.000160,,,q_p is represented by machine_pressure and remains machine-side only; AGV q_p is N/A
weight_single|S|mixed|43|machine_remaining_work|single_coeff|10,2026-06-03T15:01:55,S_mixed_seed43,S,mixed,43,50043,50043,0.0,B-CORE,solved,,0.010355,machine_remaining_work,single_coeff,10,0,"{""machine_remaining_work"": -0.08800000000000001}",{},61.747027,61.747027,271.534013,0.000120,,,q_p is represented by machine_pressure and remains machine-side only; AGV q_p is N/A
weight_single|S|mixed|43|machine_remaining_work|single_coeff|-10,2026-06-03T15:01:55,S_mixed_seed43,S,mixed,43,50043,50043,0.0,B-CORE,solved,,0.010449,machine_remaining_work,single_coeff,-10,0,"{""machine_remaining_work"": -0.07200000000000001}",{},61.747027,61.747027,271.534013,0.000121,,,q_p is represented by machine_pressure and remains machine-side only; AGV q_p is N/A
weight_single|S|mixed|43|machine_remaining_ops|single_coeff|50,2026-06-03T15:01:55,S_mixed_seed43,S,mixed,43,50043,50043,0.0,B-CORE,solved,,0.011000,machine_remaining_ops,single_coeff,50,0,"{""machine_remaining_ops"": -0.33}",{},61.747027,61.747027,271.534013,0.000126,,,q_p is represented by machine_pressure and remains machine-side only; AGV q_p is N/A
weight_single|S|mixed|43|machine_remaining_work|single_coeff|-25,2026-06-03T15:01:55,S_mixed_seed43,S,mixed,43,50043,50043,0.0,B-CORE,solved,,0.011829,machine_remaining_work,single_coeff,-25,0,"{""machine_remaining_work"": -0.06}",{},61.747027,61.747027,271.534013,0.000140,,,q_p is represented by machine_pressure and remains machine-side only; AGV q_p is N/A
weight_single|S|mixed|43|machine_remaining_ops|single_coeff|-50,2026-06-03T15:01:55,S_mixed_seed43,S,mixed,43,50043,50043,0.0,B-CORE,solved,,0.016049,machine_remaining_ops,single_coeff,-50,0,"{""machine_remaining_ops"": -0.11}",{},61.747027,61.747027,271.534013,0.000192,,,q_p is represented by machine_pressure and remains machine-side only; AGV q_p is N/A
weight_single|S|mixed|43|machine_remaining_work|single_coeff|25,2026-06-03T15:01:55,S_mixed_seed43,S,mixed,43,50043,50043,0.0,B-CORE,solved,,0.014435,machine_remaining_work,single_coeff,25,0,"{""machine_remaining_work"": -0.1}",{},61.747027,61.747027,271.534013,0.000173,,,q_p is represented by machine_pressure and remains machine-side only; AGV q_p is N/A
weight_single|S|mixed|43|machine_remaining_work|single_coeff|-50,2026-06-03T15:01:55,S_mixed_seed43,S,mixed,43,50043,50043,0.0,B-CORE,solved,,0.015447,machine_remaining_work,single_coeff,-50,0,"{""machine_remaining_work"": -0.04}",{},61.747027,61.747027,271.534013,0.000184,,,q_p is represented by machine_pressure and remains machine-side only; AGV q_p is N/A
